sample  run fq1 fq2 platform
LB202  LB202-I_S9_L001  /gpfs/hpc/home/taavi74/fastq/200416/LB202-I_S9_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB202-I_S9_L001_R2_001.fastq.gz ILLUMINA
LB614  LB614_S5_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB614_S5_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB614_S5_L001_R2_001.fastq.gz ILLUMINA
LB202  LB202_S2_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB202_S2_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB202_S2_L001_R2_001.fastq.gz ILLUMINA
LB624  LB624-I_S13_L001  /gpfs/hpc/home/taavi74/fastq/200416/LB624-I_S13_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/200416/LB624-I_S13_L001_R2_001.fastq.gz  ILLUMINA
LB228  LB228-I_S10_L001  /gpfs/hpc/home/taavi74/fastq/200416/LB228-I_S10_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/200416/LB228-I_S10_L001_R2_001.fastq.gz  ILLUMINA
LB624  LB624_S6_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB624_S6_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB624_S6_L001_R2_001.fastq.gz ILLUMINA
LB228  LB228_S3_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB228_S3_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB228_S3_L001_R2_001.fastq.gz ILLUMINA
LB637  LB637-I_S14_L001  /gpfs/hpc/home/taavi74/fastq/200416/LB637-I_S14_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/200416/LB637-I_S14_L001_R2_001.fastq.gz  ILLUMINA
LB236  LB236-I_S11_L001  /gpfs/hpc/home/taavi74/fastq/200416/LB236-I_S11_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/200416/LB236-I_S11_L001_R2_001.fastq.gz  ILLUMINA
LB637  LB637_S7_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB637_S7_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB637_S7_L001_R2_001.fastq.gz ILLUMINA
LB236  LB236_S4_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB236_S4_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB236_S4_L001_R2_001.fastq.gz ILLUMINA
LB775  LB775_S8_L001    /gpfs/hpc/home/taavi74/fastq/200416/LB775_S8_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LB775_S8_L001_R2_001.fastq.gz ILLUMINA
LB614  LB614-I_S12_L001  /gpfs/hpc/home/taavi74/fastq/200416/LB614-I_S12_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/200416/LB614-I_S12_L001_R2_001.fastq.gz  ILLUMINA
LC039  LC039_S1_L001_R1    /gpfs/hpc/home/taavi74/fastq/200416/LC039_S1_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/200416/LC039_S1_L001_R2_001.fastq.gz ILLUMINA
LB614  LB614-II_S12_L001 /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB614-II_S12_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB614-II_S12_L001_R2_001.fastq.gz ILLUMINA
LB624  LB624-II_S13_L001 /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB624-II_S13_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB624-II_S13_L001_R2_001.fastq.gz ILLUMINA
LB637  LB637-II_S14_L001 /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB637-II_S14_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB637-II_S14_L001_R2_001.fastq.gz ILLUMINA
LB797   LB797_S1_L001   /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB797_S1_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB797_S1_L001_R2_001.fastq.gz ILLUMINA
LB804   LB804_S2_L001   /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB804_S2_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB804_S2_L001_R2_001.fastq.gz ILLUMINA
LB811   LB811_S3_L001   /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB811_S3_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB811_S3_L001_R2_001.fastq.gz ILLUMINA
LB812   LB812_S4_L001   /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB812_S4_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB812_S4_L001_R2_001.fastq.gz ILLUMINA
LB820   LB820_S5_L001   /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB820_S5_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/LB820_S5_L001_R2_001.fastq.gz ILLUMINA
MP3049-V    MP3049-V_S8_L001    /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3049-V_S8_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3049-V_S8_L001_R2_001.fastq.gz ILLUMINA
MP3049  MP3049_S6_L001  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3049_S6_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3049_S6_L001_R2_001.fastq.gz ILLUMINA
MP3341-V    MP3341-V_S9_L001    /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3341-V_S9_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3341-V_S9_L001_R2_001.fastq.gz ILLUMINA
MP3542-V    MP3542-V_S10_L001    /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3542-V_S10_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP3542-V_S10_L001_R2_001.fastq.gz ILLUMINA
MP4290-V    MP4290-V_S11_L001    /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP4290-V_S11_L001_R1_001.fastq.gz  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP4290-V_S11_L001_R2_001.fastq.gz ILLUMINA
MP4290  MP4290_S7_L001  /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP4290_S7_L001_R1_001.fastq.gz /gpfs/hpc/home/taavi74/fastq/sars-cov-2b/MP4290_S7_L001_R2_001.fastq.gz ILLUMINA
Cov0099	Cov0099_S29_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0099_S29_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0099_S29_L001_R2_001.fastq.gz	ILLUMINA
Cov0099-2	Cov0099-2_S30_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0099-2_S30_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0099-2_S30_L001_R2_001.fastq.gz	ILLUMINA
Cov0196	Cov0196_S4_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0196_S4_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0196_S4_L001_R2_001.fastq.gz	ILLUMINA
Cov0198	Cov0198_S5_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0198_S5_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0198_S5_L001_R2_001.fastq.gz	ILLUMINA
Cov0199	Cov0199_S6_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0199_S6_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0199_S6_L001_R2_001.fastq.gz	ILLUMINA
Cov0201	Cov0201_S7_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0201_S7_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0201_S7_L001_R2_001.fastq.gz	ILLUMINA
Cov0204	Cov0204_S8_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0204_S8_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0204_S8_L001_R2_001.fastq.gz	ILLUMINA
Cov0211	Cov0211_S1_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0211_S1_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0211_S1_L001_R2_001.fastq.gz	ILLUMINA
Cov0213	Cov0213_S2_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0213_S2_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0213_S2_L001_R2_001.fastq.gz	ILLUMINA
Cov0214	Cov0214_S3_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0214_S3_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0214_S3_L001_R2_001.fastq.gz	ILLUMINA
Cov0216	Cov0216_S9_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0216_S9_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0216_S9_L001_R2_001.fastq.gz	ILLUMINA
Cov0218	Cov0218_S10_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0218_S10_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0218_S10_L001_R2_001.fastq.gz	ILLUMINA
Cov0220	Cov0220_S11_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0220_S11_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0220_S11_L001_R2_001.fastq.gz	ILLUMINA
Cov0221	Cov0221_S12_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0221_S12_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0221_S12_L001_R2_001.fastq.gz	ILLUMINA
Cov0222	Cov0222_S13_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0222_S13_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0222_S13_L001_R2_001.fastq.gz	ILLUMINA
Cov0223	Cov0223_S14_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0223_S14_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0223_S14_L001_R2_001.fastq.gz	ILLUMINA
Cov0224	Cov0224_S15_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0224_S15_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0224_S15_L001_R2_001.fastq.gz	ILLUMINA
Cov0234	Cov0234_S16_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0234_S16_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0234_S16_L001_R2_001.fastq.gz	ILLUMINA
Cov0235	Cov0235_S17_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0235_S17_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0235_S17_L001_R2_001.fastq.gz	ILLUMINA
Cov0236	Cov0236_S18_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0236_S18_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0236_S18_L001_R2_001.fastq.gz	ILLUMINA
Cov0241	Cov0241_S19_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0241_S19_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0241_S19_L001_R2_001.fastq.gz	ILLUMINA
Cov0245	Cov0245_S20_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0245_S20_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0245_S20_L001_R2_001.fastq.gz	ILLUMINA
Cov0247	Cov0247_S21_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0247_S21_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0247_S21_L001_R2_001.fastq.gz	ILLUMINA
Cov0252	Cov0252_S22_L001	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0252_S22_L001_R1_001.fastq.gz	/gpfs/rocket/nfs/galaxy/ftp/taavi74/covid200925/Cov0252_S22_L001_R2_001.fastq.gz	ILLUMINA
